id=384  property=dbp:birthDate  object=c.  NumberOfEntitiesFoundForObject=14
id=389  property=dbp:birthDate  object=1955  NumberOfEntitiesFoundForObject=13
district-NN  multiply=0.025175  P(district|object)=0.461538  P(object|district)=0.054545    Lift=0.004196 {Confidence word=0.019878 object=0.168196 =0.009174 Lift=2.744056}
state-NN  multiply=0.023411  P(state|object)=0.538462  P(object|state)=0.043478    Lift=0.003344 {Confidence word=0.019878 object=0.246177 =0.010703 Lift=2.187291}
cabinet-NN  multiply=0.01978  P(cabinet|object)=0.230769  P(object|cabinet)=0.085714    Lift=0.006593 {Confidence word=0.019878 object=0.053517 =0.004587 Lift=4.312088}
assembly-NN  multiply=0.016989  P(assembly|object)=0.461538  P(object|assembly)=0.03681    Lift=0.002832 {Confidence word=0.019878 object=0.249235 =0.009174 Lift=1.851817}
chief-JJ  multiply=0.016886  P(chief|object)=0.230769  P(object|chief)=0.073171    Lift=0.005629 {Confidence word=0.019878 object=0.062691 =0.004587 Lift=3.681051}
election-NN  multiply=0.013639  P(election|object)=0.384615  P(object|election)=0.035461    Lift=0.002728 {Confidence word=0.019878 object=0.215596 =0.007645 Lift=1.783961}
minister-NN  multiply=0.013378  P(minister|object)=0.307692  P(object|minister)=0.043478    Lift=0.003344 {Confidence word=0.019878 object=0.140673 =0.006116 Lift=2.187291}
leader-NN  multiply=0.01049  P(leader|object)=0.230769  P(object|leader)=0.045455    Lift=0.003497 {Confidence word=0.019878 object=0.100917 =0.004587 Lift=2.286713}
wife-NN  multiply=0.010256  P(wife|object)=0.153846  P(object|wife)=0.066667    Lift=0.005128 {Confidence word=0.019878 object=0.045872 =0.003058 Lift=3.353846}

