id=42  property=dbo:occupation  object=http://dbpedia.org/resource/Actress  NumberOfEntitiesFoundForObject=42
member-NN  multiply=0.063477  P(member|object)=0.15625  P(object|member)=0.40625    Lift=0.004883 {Confidence word=0.260546 object=0.079404 =0.032258 Lift=1.559226}
screen-NN  multiply=0.060662  P(screen|object)=0.1875  P(object|screen)=0.323529    Lift=0.005515 {Confidence word=0.260546 object=0.084367 =0.027295 Lift=1.241737}
stage-NN  multiply=0.06044  P(stage|object)=0.25  P(object|stage)=0.241758    Lift=0.002747 {Confidence word=0.260546 object=0.225806 =0.054591 Lift=0.927891}
first-JJ  multiply=0.055556  P(first|object)=0.21875  P(object|first)=0.253968    Lift=0.003472 {Confidence word=0.260546 object=0.156328 =0.039702 Lift=0.974754}
opera-NN  multiply=0.052083  P(opera|object)=0.15625  P(object|opera)=0.333333    Lift=0.005208 {Confidence word=0.260546 object=0.074442 =0.024814 Lift=1.279365}
serial-JJ  multiply=0.051136  P(serial|object)=0.09375  P(object|serial)=0.545455    Lift=0.002841 {Confidence word=0.260546 object=0.081886 =0.044665 Lift=2.093506}
notable-JJ  multiply=0.048611  P(notable|object)=0.125  P(object|notable)=0.388889    Lift=0.006944 {Confidence word=0.260546 object=0.044665 =0.01737 Lift=1.492593}
soap-NN  multiply=0.045732  P(soap|object)=0.1875  P(object|soap)=0.243902    Lift=0.004573 {Confidence word=0.260546 object=0.101737 =0.024814 Lift=0.936121}
episode-NN  multiply=0.042843  P(episode|object)=0.15625  P(object|episode)=0.274194    Lift=0.00252 {Confidence word=0.260546 object=0.153846 =0.042184 Lift=1.052381}
production-NN  multiply=0.041274  P(production|object)=0.15625  P(object|production)=0.264151    Lift=0.002948 {Confidence word=0.260546 object=0.131514 =0.034739 Lift=1.013836}
dramatic-JJ  multiply=0.0375  P(dramatic|object)=0.09375  P(object|dramatic)=0.4    Lift=0.00625 {Confidence word=0.260546 object=0.037221 =0.014888 Lift=1.535238}
debut-NN  multiply=0.032258  P(debut|object)=0.125  P(object|debut)=0.258065    Lift=0.004032 {Confidence word=0.260546 object=0.076923 =0.019851 Lift=0.990476}
comedy-NN  multiply=0.029605  P(comedy|object)=0.09375  P(object|comedy)=0.315789    Lift=0.002467 {Confidence word=0.260546 object=0.094293 =0.029777 Lift=1.21203}
young-JJ  multiply=0.028125  P(young|object)=0.09375  P(object|young)=0.3    Lift=0.003125 {Confidence word=0.260546 object=0.074442 =0.022333 Lift=1.151429}
radio-NN  multiply=0.026367  P(radio|object)=0.09375  P(object|radio)=0.28125    Lift=0.00293 {Confidence word=0.260546 object=0.079404 =0.022333 Lift=1.079464}
award-NN  multiply=0.025568  P(award|object)=0.09375  P(object|award)=0.272727    Lift=0.002841 {Confidence word=0.260546 object=0.081886 =0.022333 Lift=1.046753}
daughter-NN  multiply=0.023148  P(daughter|object)=0.125  P(object|daughter)=0.185185    Lift=0.00463 {Confidence word=0.260546 object=0.066998 =0.012407 Lift=0.710758}
work-NN  multiply=0.020956  P(work|object)=0.09375  P(object|work)=0.223529    Lift=0.001103 {Confidence word=0.260546 object=0.210918 =0.047146 Lift=0.857927}
former-JJ  multiply=0.01875  P(former|object)=0.0625  P(object|former)=0.3    Lift=0.003125 {Confidence word=0.260546 object=0.049628 =0.014888 Lift=1.151429}
career-NN  multiply=0.018382  P(career|object)=0.0625  P(object|career)=0.294118    Lift=0.001838 {Confidence word=0.260546 object=0.084367 =0.024814 Lift=1.128852}
producer-NN  multiply=0.015625  P(producer|object)=0.0625  P(object|producer)=0.25    Lift=0.003125 {Confidence word=0.260546 object=0.049628 =0.012407 Lift=0.959524}
actress-NN  multiply=0.015462  P(actress|object)=0.15625  P(object|actress)=0.098958    Lift=8.14E-4 {Confidence word=0.260546 object=0.476427 =0.047146 Lift=0.379812}
sitcom-NN  multiply=0.013158  P(sitcom|object)=0.0625  P(object|sitcom)=0.210526    Lift=0.003289 {Confidence word=0.260546 object=0.047146 =0.009926 Lift=0.80802}
last-JJ  multiply=0.0125  P(last|object)=0.0625  P(object|last)=0.2    Lift=0.0025 {Confidence word=0.260546 object=0.062035 =0.012407 Lift=0.767619}
swedish-JJ  multiply=0.011574  P(swedish|object)=0.0625  P(object|swedish)=0.185185    Lift=7.72E-4 {Confidence word=0.260546 object=0.200993 =0.037221 Lift=0.710758}
show-NN  multiply=0.010417  P(show|object)=0.0625  P(object|show)=0.166667    Lift=8.01E-4 {Confidence word=0.260546 object=0.193548 =0.032258 Lift=0.639683}

